"titulo","video_id","fecha_vista"
"[GOING SEVENTEEN] EP.70 돈't Lie : The CHASER #1 (Don’t Lie : The CHASER #1)","q0bYVoLJ5UA",2024-11-19
"[GOING SEVENTEEN] EP.118 고잉 제작기 : 웃지 마 (GOING PRODUCTION : Don't Laugh)","UnrcM3N_mGI",2024-11-16
"[GOING SEVENTEEN] EP.118 고잉 제작기 : 좀비와의 인터뷰 (GOING PRODUCTION : Interview With The Zombie)","xn0HzluujXk",2024-11-16
"[GOING SEVENTEEN] EP.91 전참시 벌 #1 (Point of Omniscient Interfere Penalty #1)","q3rfMpxOl08",2024-11-14
"[GOING SEVENTEEN] EP.119 고잉 제작기 (GOING PRODUCTION)","650K75tw3cQ",2024-11-13
"[GOING SEVENTEEN] EP.106 불면제로 Ⅲ #2 (Insomnia-Zero Ⅲ #2)","uzcU9Oko4PM",2024-11-11
"[GOING SEVENTEEN] EP.105 불면제로 Ⅲ #1 (Insomnia-Zero Ⅲ #1)","aJFnJxMmvZU",2024-11-11
"[GOING SEVENTEEN] EP.66 기습 돈't Lie #1 (Surprise Don't Lie #1)","SK282KBKadk",2024-11-10
"[GOING SEVENTEEN 2020] EP.3 돈't Lie #1 (Don't Lie #1)","OqTI0KYkeJQ",2024-11-10
"[GOING SEVENTEEN 2020] 고잉 세븐틴 2020 캐럿 어워즈 (GOING SEVENTEEN 2020 CARAT AWARDS)","HVzNAbfSUQs",2024-11-10
"[SEVENTEEN] GOING SEVENTEEN 2019 EP.28 세봉이의 상상은 현실이 된다 #2 (THE SECRET LIFE OF GOING SEVONG #2)","x0FTQ0rnW_A",2024-11-10
"[GOING SEVENTEEN] EP.72 법정 : 모든 걸 꿰뚫어 보는 눈 #1 (Court : Eyes That See The Truth #1)","bA7XCoBsIDs",2024-11-10
"[GOING SEVENTEEN] EP.87 부밀리가 떴다 #3 (BOOmily Outing #3)","CZLIeVxWG3c",2024-11-10
"[GOING SEVENTEEN SPECIAL] 겨울방학 특집 : 안다와 몰라 #1 (I Know & Don't Know #1)","78LM7AyE6-g",2024-11-10
"[GOING SEVENTEEN] EP.32 순응특집 단짝 #2 (Best Friends #2)","lPxbmawGISs",2024-11-10
"[GOING SEVENTEEN] EP.118 고잉 제작기 : 웃지 마 (GOING PRODUCTION : Don't Laugh)","UnrcM3N_mGI",2024-11-06
"[GOING SEVENTEEN] EP.118 고잉 제작기 : 좀비와의 인터뷰 (GOING PRODUCTION : Interview With The Zombie)","xn0HzluujXk",2024-11-06
"[GOING SEVENTEEN] EP.116 We Have to Cross Over in a Day? Are You Being Serious Right Now?! #1","gUtvE6Wu7sc",2024-10-24
"[GOING SEVENTEEN] EP.116 We Have to Cross Over in a Day? Are You Being Serious Right Now?! #1","gUtvE6Wu7sc",2024-10-24
"[GOING SEVENTEEN] COMEBACK SPECIAL : 최승철, 부승관의 기분 좋은 아침 #1 (CHOI & BOO's Very Good Morning #1)","jBqd-awcBtc",2024-10-11
